"timestamp","total_lots","lot_type","lots_available","carpark_number","update_datetime"
"","427","C","170","J50","2023-10-01T10:50:12"
"","10","C","0","J60L","2023-10-01T10:50:22"
"","700","C","0","J62","2023-10-01T10:50:09"
"","200","C","152","J62M","2023-10-01T10:50:00"
"","150","C","48","J63","2023-10-01T10:50:04"
"","1083","C","590","J65","2023-10-01T10:50:03"
"","450","C","72","J71","2023-10-01T10:50:02"
"","415","C","266","J76M","2023-10-01T10:50:26"
"","350","C","213","J77M","2023-10-01T10:50:11"
"","458","C","196","J78M","2023-10-01T10:49:57"
"","337","C","182","J79M","2023-10-01T10:50:24"
"","441","C","241","J80M","2023-10-01T10:50:12"
"","466","C","174","J81M","2023-10-01T10:49:58"
"","535","C","214","J82M","2023-10-01T10:51:10"
"","172","C","88","J83M","2023-10-01T10:50:41"
"","191","C","62","J86M","2023-10-01T10:50:20"
"","603","C","430","J88M","2023-10-01T10:50:18"
"","591","C","402","J89M","2023-10-01T10:50:12"
"","489","C","371","J98M","2023-10-01T10:50:16"
"","502","C","387","J99M","2023-10-01T10:50:09"
"","367","C","230","JM10","2023-10-01T10:49:57"
"","1061","C","738","JM13","2023-10-01T10:50:24"
"","538","C","535","JM22","2023-10-01T10:50:16"
"","1033","C","701","JM25","2023-10-01T10:50:23"
"","1302","C","933","JM28","2023-10-01T10:50:02"
"","641","C","387","JM29","2021-03-08T07:44:02"
"","385","C","318","TBM3","2023-10-01T10:45:59"
"","50","H","50","",""
"","94","Y","56","",""
"","503","C","346","TBM4","2023-10-01T10:44:02"
"","67","Y","33","",""
"","50","H","50","",""
"","1481","C","924","BJ49","2023-10-01T10:50:56"
"","678","C","340","Y11","2023-10-01T10:48:12"
"","697","C","233","Y8","2023-10-01T10:48:15"
"","262","C","112","Y13","2023-10-01T10:47:56"
"","403","C","113","Y3","2023-10-01T10:48:06"
"","206","C","86","Y3M","2023-10-01T10:48:14"
"","224","C","63","Y39","2023-10-01T10:47:48"
"","4","C","0","Y69L","2023-10-01T10:50:29"
"","485","C","219","Y48","2023-10-01T10:49:38"
"","257","C","179","Y48M","2023-10-01T10:49:38"
"","335","C","114","Y15","2023-10-01T10:47:56"
"","807","C","299","Y4","2023-10-01T10:48:05"
"","286","C","131","Y27","2023-10-01T10:47:58"
"","566","C","149","Y49","2023-10-01T10:49:49"
"","367","C","214","Y21M","2023-10-01T10:47:49"
"","297","C","123","Y28","2023-10-01T10:47:47"
"","375","C","227","Y28M","2023-10-01T10:48:10"
"","101","C","10","Y33","2023-10-01T10:47:52"
"","267","C","174","Y49M","2023-10-01T10:49:26"
"","19","C","0","Y49L","2023-10-01T10:49:26"
"","89","C","72","U71","2023-10-01T10:48:04"
"","667","C","182","Y7","2023-10-01T10:47:57"
"","18","C","0","Y57","2023-10-01T10:49:20"
"","77","C","1","Y21","2023-10-01T10:47:50"
"","789","C","490","SB19","2023-10-01T10:47:53"
"","387","C","202","SB24","2021-03-16T09:49:04"
"","4","C","3","S19L","2021-03-16T09:49:04"
"","2","C","0","S24L","2021-03-16T09:49:04"
"","383","C","264","SB2","2023-10-01T10:47:50"
"","714","C","539","SB16","2023-10-01T10:48:03"
"","1401","C","983","SB26","2023-10-01T10:48:01"
"","395","C","283","SB27","2021-06-30T09:29:09"
"","498","C","341","SB28","2021-06-30T09:29:09"
"","739","C","527","Y83M","2023-10-01T10:48:04"
"","359","C","224","SB3","2023-10-01T10:47:56"
"","1549","C","1164","SB15","2023-10-01T10:47:55"
"","6","C","0","Y83L","2023-10-01T10:48:04"
"","272","C","179","SB4","2023-10-01T10:48:13"
"","395","C","244","SB5","2023-10-01T10:48:04"
"","644","C","401","SB18","2020-04-01T09:20:04"
"","1454","C","975","SB21","2023-10-01T10:48:05"
"","628","C","432","SB29","2023-10-01T10:48:04"
"","922","C","756","SB30","2023-10-01T10:48:05"
"","202","C","123","SB31","2023-10-01T10:48:08"
"","550","C","345","SB23","2023-10-01T10:48:05"
"","715","C","515","SB22","2023-10-01T10:47:48"
"","63","C","17","SB34","2023-10-01T10:48:06"
"","1336","C","890","SK36","2023-10-01T10:47:49"
"","538","C","342","SK37","2021-05-21T08:39:13"
"","465","C","286","SK42","2021-05-21T08:39:13"
"","674","C","496","SK23","2023-10-01T10:47:53"
"","394","C","261","SK10","2023-10-01T10:47:48"
"","609","C","344","SK19","2023-10-01T10:47:46"
"","283","C","188","SK20","2021-01-08T08:45:23"
"","362","C","204","SK11","2023-10-01T10:48:11"
"","556","C","370","SK45","2023-10-01T10:48:05"
"","593","C","411","SK4","2023-10-01T10:47:56"
"","412","C","172","SK77","2023-10-01T10:51:00"
"","429","C","239","SK16","2023-10-01T10:48:00"
"","494","C","320","SK63","2023-10-01T10:48:04"
"","539","C","407","SK7","2023-10-01T10:47:57"
"","35","C","1","MR4","2023-10-01T10:49:48"
"","183","C","27","CR7","2023-10-01T10:50:36"
"","408","C","169","KB4","2023-10-01T10:50:52"
"","280","C","144","JRM","2023-10-01T10:49:58"
"","64","C","2","SD5","2023-10-01T10:49:45"
"","181","C","3","KB12","2023-10-01T10:49:56"
"","53","C","22","UBK4","2023-10-01T10:49:20"
"","29","C","0","SD2","2023-10-01T10:49:55"
"","135","C","0","SDM2","2023-10-01T10:49:55"
"","10","H","50","SK61","2023-10-01T10:47:40"
"","101","Y","72","",""
"","711","C","528","",""
"","143","C","32","SG3","2023-10-01T10:49:59"
"","395","C","180","NBRM","2023-10-01T10:50:47"
"","103","C","37","SG2","2023-10-01T10:49:59"
"","192","C","166","SDM","2023-10-01T10:46:35"
"","102","C","0","SD3","2023-10-01T10:49:59"
"","50","C","5","W107","2023-10-01T10:47:52"
"","285","C","120","W30","2023-10-01T10:48:01"
"","27","C","0","W28","2023-10-01T10:47:55"
"","245","C","33","W44","2023-10-01T10:48:14"
"","324","C","112","W45","2023-10-01T10:47:48"
"","128","C","21","W7","2023-10-01T10:48:09"
"","322","C","96","W19","2023-10-01T10:50:54"
"","350","C","203","W780","2023-10-01T10:48:00"
"","486","C","355","W101","2023-10-01T10:48:04"
"","272","C","67","W13","2023-10-01T10:48:10"
"","291","C","157","W48","2023-10-01T10:47:50"
"","452","C","280","W102","2023-10-01T10:48:09"
"","50","C","0","W37","2023-10-01T10:47:52"
"","285","C","151","W52","2023-10-01T10:48:06"
"","352","C","212","W64","2023-10-01T10:48:05"
"","406","C","142","W17","2023-10-01T10:48:12"
"","563","C","193","W18","2023-10-01T10:48:06"
"","382","C","254","W58","2023-10-01T10:48:06"
"","355","C","199","W5","2023-10-01T10:48:03"
"","213","C","96","W5M","2023-10-01T10:48:04"
"","628","C","295","W23","2023-10-01T10:48:07"
"","304","C","109","W40","2023-10-01T10:48:03"
"","833","C","430","W49","2023-10-01T10:48:11"
"","254","C","201","W50","2021-04-23T11:38:55"
"","304","C","242","W51","2021-04-23T11:38:55"
"","539","C","206","W36","2023-10-01T10:48:02"
"","116","C","41","W10","2023-10-01T10:48:15"
"","57","C","2","W6","2023-10-01T10:48:12"
"","275","C","118","W181","2023-10-01T10:48:13"
"","328","C","124","W14","2023-10-01T10:49:17"
"","412","C","207","PM6","2023-10-01T10:49:27"
"","398","C","184","PM17","2023-10-01T10:49:17"
"","428","C","236","PM14","2023-10-01T10:49:47"
"","412","C","187","PM29","2023-10-01T10:49:24"
"","245","C","134","PM16","2023-10-01T10:49:12"
"","247","C","103","PM18","2023-10-01T10:48:58"
"","227","C","126","PM11","2023-10-01T10:49:35"
"","239","C","76","PM7","2023-10-01T10:49:25"
"","435","C","177","PM13","2023-10-01T10:49:47"
"","522","C","245","PM45","2023-10-01T10:49:26"
"","359","C","164","PM41","2023-10-01T10:49:40"
"","301","C","99","PR1","2023-10-01T10:49:37"
"","437","C","326","PM19","2023-10-01T10:49:37"
"","299","C","255","JM33","2023-10-01T10:50:25"
"","8","C","0","JS33","2023-10-01T10:50:25"
"","267","C","131","PM40","2023-10-01T10:49:52"
"","293","C","134","PM37","2020-11-02T10:04:43"
"","671","C","331","PM36","2023-10-01T10:49:33"
"","472","C","322","SK93","2023-10-01T10:47:47"
"","360","C","216","SK2","2023-10-01T10:47:52"
"","867","C","582","SK60","2023-10-01T10:48:11"
"","1358","C","958","SK15","2023-10-01T10:48:07"
"","677","C","539","SK17","2020-12-14T09:35:53"
"","354","C","203","SK12","2023-10-01T10:48:10"
"","75","C","21","W4","2023-10-01T10:48:04"
"","507","C","345","SK22","2023-10-01T10:48:00"
"","653","C","451","SK21","2023-10-01T10:48:03"
"","355","C","192","SK13","2023-10-01T10:47:58"
"","473","C","374","SK6","2023-10-01T10:47:47"
"","2064","C","1855","CK52","2023-10-01T10:50:58"
"","314","C","202","P1","2023-10-01T10:48:13"
"","293","C","152","P2","2023-10-01T10:48:12"
"","658","C","419","P3","2023-10-01T10:48:11"
"","411","C","226","P4","2023-10-01T10:47:59"
"","520","C","286","P5","2023-10-01T10:47:55"
"","4","C","0","P5L","2020-04-01T02:35:29"
"","547","C","333","P6","2023-10-01T10:48:12"
"","6","C","6","P6L","2020-04-01T02:35:29"
"","741","C","532","PL14","2023-10-01T10:50:52"
"","500","C","331","PL15","2023-10-01T10:47:52"
"","283","C","158","PL25","2023-10-01T10:48:16"
"","298","C","144","PL29","2023-10-01T10:50:59"
"","204","C","86","PL30","2023-10-01T10:50:48"
"","222","C","79","PL31","2023-10-01T10:48:03"
"","203","C","86","PL32","2023-10-01T10:47:50"
"","48","C","9","PL33","2023-10-01T10:48:06"
"","430","C","223","PL39","2023-10-01T10:48:04"
"","243","C","99","PL40","2023-10-01T10:48:04"
"","458","C","204","PL41","2023-10-01T10:48:02"
"","598","C","274","PL42","2023-10-01T10:50:57"
"","55","C","32","PL44","2023-10-01T10:47:49"
"","354","C","135","PL45","2023-10-01T10:47:47"
"","428","C","162","PL46","2023-10-01T10:48:08"
"","476","C","240","PL48","2023-10-01T10:50:45"
"","175","C","59","J10","2023-10-01T10:50:38"
"","129","C","58","J11","2023-10-01T10:50:23"
"","433","C","268","CK32","2023-10-01T10:50:40"
"","553","C","357","BJ51","2023-10-01T10:50:39"
"","319","C","183","BJ52","2023-10-01T10:50:48"
"","407","C","288","SK25","2023-10-01T10:47:42"
"","99","Y","74","",""
"","50","H","50","",""
"","430","C","347","SK26","2023-10-01T10:47:42"
"","56","Y","43","",""
"","10","H","10","",""
"","528","C","384","SK32","2023-10-01T10:45:51"
"","50","H","50","",""
"","100","Y","40","",""
"","546","C","381","SK33","2023-10-01T10:45:51"
"","10","H","10","",""
"","112","Y","88","",""
"","817","C","315","HG11","2023-10-01T10:50:38"
"","366","C","187","PL68","2023-10-01T10:50:51"
"","699","C","408","PL69","2023-10-01T10:51:08"
"","277","C","119","MLM","2023-10-01T10:46:46"
"","141","Y","35","",""
"","100","H","0","",""
"","33","C","11","CR2","2023-10-01T10:50:12"
"","30","C","0","CR3","2023-10-01T10:50:12"
"","483","C","279","W57","2023-10-01T10:48:57"
"","82","C","10","BE36","2023-10-01T10:49:58"
"","402","C","198","BE37","2023-10-01T10:49:58"
"","31","C","0","BE38","2023-10-01T10:49:58"
"","852","C","547","BE42","2023-10-01T10:49:45"
"","119","C","44","BE7","2023-10-01T10:49:50"
"","421","C","243","SE13","2023-10-01T10:49:51"
"","674","C","292","SE16","2023-10-01T10:49:58"
"","89","C","0","SM1","2023-10-01T10:49:53"
"","149","C","87","SM3","2023-10-01T10:48:20"
"","33","C","12","JB3","2023-10-01T10:42:00"
"","10","H","0","",""
"","19","Y","16","",""
"","147","C","79","JB4","2023-10-01T10:45:32"
"","37","Y","29","",""
"","50","H","50","",""
"","95","C","5","K2","2023-10-01T10:46:08"
"","43","Y","36","",""
"","50","H","0","",""
"","73","C","0","K2T","2023-10-01T10:46:08"
"","12","Y","6","",""
"","50","H","50","",""
"","177","C","88","KM2","2023-10-01T10:46:55"
"","118","Y","105","",""
"","1","H","0","",""
"","535","C","399","KM3","2023-10-01T10:46:08"
"","85","Y","60","",""
"","50","H","0","",""
"","269","C","262","TRS","2021-04-06T10:02:46"
"","290","C","177","ACM","2023-10-01T10:45:20"
"","89","Y","50","",""
"","50","H","0","",""
"","792","C","412","GE1A","2023-10-01T10:47:20"
"","50","H","0","",""
"","359","Y","262","",""
"","50","C","10","GE1F","2023-10-01T10:47:20"
"","45","C","3","GE1G","2023-10-01T10:47:20"
"","10","H","0","",""
"","20","Y","4","",""
"","194","C","93","GE2","2023-10-01T10:42:01"
"","50","H","50","",""
"","62","Y","44","",""
"","355","C","179","GE3","2023-10-01T10:44:03"
"","50","H","50","",""
"","147","Y","117","",""
"","253","C","49","GE5","2023-10-01T10:45:16"
"","50","H","50","",""
"","43","Y","29","",""
"","70","C","3","JB1","2023-10-01T10:43:26"
"","50","H","50","",""
"","80","Y","59","",""
"","55","C","0","JB2","2023-10-01T10:43:26"
"","50","H","50","",""
"","21","Y","16","",""
"","159","C","21","K7","2022-09-01T18:34:59"
"","429","C","314","KM4","2022-09-01T18:35:00"
"","260","C","97","LT1","2023-10-01T10:46:09"
"","50","H","0","",""
"","72","Y","61","",""
"","74","C","13","LT2","2023-10-01T10:46:09"
"","50","H","0","",""
"","19","Y","11","",""
"","244","C","37","LT3","2023-10-01T10:46:09"
"","50","H","0","",""
"","31","Y","21","",""
"","312","C","116","M1","2023-10-01T10:46:09"
"","50","H","50","",""
"","129","Y","67","",""
"","352","C","144","M32","2023-10-01T10:45:54"
"","50","H","0","",""
"","106","Y","57","",""
"","159","C","34","MP1","2023-10-01T10:41:11"
"","50","H","0","",""
"","44","Y","38","",""
"","87","C","51","MP17","2023-10-01T10:47:20"
"","616","C","132","MP2","2023-10-01T10:41:11"
"","50","H","0","",""
"","76","Y","51","",""
"","162","C","0","MP5","2023-10-01T10:45:20"
"","24","Y","18","",""
"","20","H","0","",""
"","159","C","7","MP5M","2023-10-01T10:43:16"
"","40","Y","20","",""
"","159","H","0","",""
"","33","C","0","MP5S","2023-10-01T10:43:16"
"","8","Y","2","",""
"","39","H","0","",""
"","76","C","40","MP6","2023-10-01T10:45:20"
"","36","Y","10","",""
"","10","H","0","",""
"","212","C","68","MP7","2023-10-01T10:46:14"
"","28","Y","7","",""
"","10","H","0","",""
"","456","C","448","SK9","2023-10-01T10:47:44"
"","100","H","0","",""
"","444","C","336","SK14","2023-10-01T10:47:44"
"","100","H","0","",""
"","81","Y","58","",""
"","625","C","343","BE10","2023-10-01T10:49:53"
"","352","C","188","BE11","2023-10-01T10:49:53"
"","220","C","134","BE13","2023-10-01T10:49:40"
"","332","C","197","BE14","2023-10-01T10:49:53"
"","65","C","22","BE26","2023-10-01T10:49:58"
"","344","C","235","BE27","2023-10-01T10:50:40"
"","304","C","88","BE28","2023-10-01T10:50:41"
"","48","C","9","BE29","2023-10-01T10:49:57"
"","345","C","238","BE30","2023-10-01T10:49:57"
"","300","C","223","BE31","2023-10-01T10:49:08"
"","200","C","93","BE32","2023-10-01T10:49:08"
"","770","C","372","BE4","2023-10-01T10:49:56"
"","647","C","309","BE5","2023-10-01T10:49:53"
"","170","C","122","BE6","2023-10-01T10:49:40"
"","711","C","20","BE9","2023-10-01T10:49:53"
"","245","C","170","CLM","2023-10-01T10:44:03"
"","50","H","0","",""
"","37","Y","16","",""
"","94","C","29","BM14","2023-10-01T10:43:13"
"","32","Y","12","",""
"","10","H","0","",""
"","36","C","4","BM19","2023-10-01T10:44:04"
"","50","H","50","",""
"","60","C","36","BM20","2023-10-01T10:45:04"
"","24","Y","8","",""
"","50","H","50","",""
"","9999","C","9909","BM4","2023-10-01T10:50:51"
"","29","C","3","BM6","2023-10-01T10:46:07"
"","10","H","0","",""
"","26","Y","1","",""
"","504","C","408","BVM2","2023-10-01T10:41:11"
"","112","Y","64","",""
"","50","H","50","",""
"","962","C","687","CM1","2023-10-01T10:46:06"
"","50","H","50","",""
"","256","Y","224","",""
"","634","C","433","W187","2023-10-01T10:50:49"
"","356","C","176","H12","2023-10-01T10:41:23"
"","50","H","50","",""
"","113","Y","49","",""
"","220","C","117","H14","2023-10-01T10:43:24"
"","50","H","50","",""
"","53","Y","40","",""
"","148","C","16","H3","2023-10-01T10:43:54"
"","50","H","0","",""
"","53","Y","53","",""
"","82","C","62","H8","2023-10-01T10:46:09"
"","65","Y","0","",""
"","1","H","0","",""
"","386","C","309","HCM","2023-10-01T10:41:13"
"","50","H","50","",""
"","208","Y","195","",""
"","21","C","4","HE1","2023-10-01T10:41:13"
"","10","H","50","",""
"","10","Y","9","",""
"","93","C","41","HE19","2023-10-01T10:46:05"
"","30","Y","12","",""
"","50","H","50","",""
"","37","C","0","HE24","2023-10-01T10:46:20"
"","5","Y","2","",""
"","1","H","0","",""
"","124","C","80","HE4","2023-10-01T10:41:11"
"","30","Y","16","",""
"","50","H","50","",""
"","492","C","374","JMB1","2023-10-01T10:50:48"
"","433","C","305","JRTM","2023-10-01T10:43:13"
"","90","Y","52","",""
"","10","H","0","",""
"","247","C","72","KTM","2023-10-01T10:43:32"
"","42","Y","27","",""
"","50","H","50","",""
"","429","C","213","KTM2","2023-10-01T10:45:31"
"","48","Y","20","",""
"","50","H","50","",""
"","465","C","341","KTM3","2023-10-01T10:46:09"
"","116","Y","96","",""
"","10","H","0","",""
"","380","C","227","KTM4","2023-10-01T10:43:29"
"","50","H","50","",""
"","57","Y","25","",""
"","169","C","61","LBM","2023-10-01T10:46:07"
"","50","H","50","",""
"","35","Y","17","",""
"","4","C","0","B23L","2023-10-01T10:50:26"
"","131","C","77","PP9T","2023-10-01T10:50:38"
"","234","S","0","JM33","2023-08-07T23:00:25"
"","222","C","128","RHM2","2023-10-01T10:43:36"
"","50","H","50","",""
"","95","Y","75","",""
"","646","C","480","RHM3","2023-10-01T10:41:20"
"","50","H","50","",""
"","104","Y","93","",""
"","282","C","77","RHM4","2023-10-01T10:41:20"
"","50","H","0","",""
"","7","Y","0","",""
"","12","C","0","RHS","2023-10-01T10:41:20"
"","1","H","0","",""
"","3","Y","0","",""
"","433","C","308","HG30","2023-10-01T10:50:18"
"","85","C","36","HG31","2023-10-01T10:50:23"
"","270","C","0","HG32","2023-10-01T10:49:33"
"","204","C","64","HG39","2023-10-01T10:49:25"
"","432","C","280","HG47","2023-10-01T10:49:41"
"","837","C","423","HG48","2023-10-01T10:49:17"
"","776","C","274","HG49","2023-10-01T10:49:08"
"","490","C","226","HG50","2023-10-01T10:49:25"
"","204","C","81","HG51","2023-10-01T10:48:55"
"","192","C","43","HG52","2023-10-01T10:49:38"
"","240","C","100","HG54","2023-10-01T10:49:34"
"","88","C","1","HG55","2023-10-01T10:49:50"
"","371","C","266","HG60","2023-10-01T10:48:55"
"","311","C","176","HG61","2023-10-01T10:49:38"
"","345","C","268","HG62","2023-10-01T10:49:38"
"","705","C","281","HG67","2023-10-01T10:49:56"
"","248","C","166","HG68","2023-10-01T10:50:18"
"","187","C","72","HG69","2023-10-01T10:50:37"
"","757","C","298","HG7","2023-10-01T10:50:35"
"","348","C","179","HG70","2023-10-01T10:49:21"
"","270","C","138","HG76","2023-10-01T10:49:31"
"","423","C","280","HG77","2023-10-01T10:49:45"
"","490","C","322","HG78","2023-10-01T10:49:51"
"","401","C","216","HG79","2023-10-01T10:49:51"
"","387","C","310","HG89","2023-10-01T10:49:08"
"","896","C","634","HG94","2023-10-01T10:50:35"
"","168","C","156","HG95","2023-10-01T10:48:59"
"","39","C","23","HG96","2023-10-01T10:48:59"
"","42","C","1","HG97","2023-10-01T10:49:52"
"","162","C","86","HG99","2023-10-01T10:49:42"
"","243","C","0","J12","2023-10-01T10:50:17"
"","192","C","5","J14","2023-10-01T10:50:15"
"","205","C","57","J15","2023-10-01T10:50:00"
"","212","C","64","J16","2023-10-01T10:50:13"
"","171","C","100","J18","2023-10-01T10:50:16"
"","231","C","83","J22","2023-10-01T10:50:17"
"","299","C","154","J23","2023-10-01T10:50:17"
"","249","C","126","J23M","2023-10-01T10:50:02"
"","377","C","163","J8","2023-10-01T10:50:12"
"","189","C","57","J9","2023-10-01T10:50:00"
"","1294","C","861","J90","2023-10-01T10:50:20"
"","587","C","381","J91","2023-10-01T10:50:12"
"","447","C","287","J92","2023-10-01T10:50:26"
"","483","C","299","J93","2023-10-01T10:50:14"
"","421","C","299","J94","2023-10-01T10:50:04"
"","467","C","278","J95","2023-10-01T10:50:11"
"","444","C","288","J96","2021-07-06T10:47:32"
"","411","C","324","J97","2021-07-06T10:47:54"
"","285","C","151","BBM2","2023-10-01T10:50:42"
"","773","C","345","U12","2023-10-01T10:50:10"
"","1023","C","841","CK56","2023-10-01T10:50:44"
"","590","C","359","CK57","2023-10-01T10:50:33"
"","350","C","297","U51","2023-10-01T10:50:24"
"","386","C","197","B59","2023-10-01T10:51:09"
"","272","C","124","B60","2023-10-01T10:51:09"
"","553","C","345","B97","2023-10-01T10:50:56"
"","131","C","44","CC12","2023-10-01T10:50:30"
"","517","C","333","SK39","2023-10-01T10:47:48"
"","200","C","64","SK81","2023-10-01T10:50:38"
"","6","C","2","P40L","2023-10-01T10:49:52"
"","355","C","146","PM10","2023-10-01T10:49:40"
"","508","C","283","PM25","2023-10-01T10:49:41"
"","218","C","18","PR7","2023-10-01T10:49:49"
"","105","C","14","MR5","2023-10-01T10:49:48"
"","105","C","45","MR6","2020-11-02T09:56:59"
"","105","C","45","MR7","2020-11-02T09:56:59"
"","294","C","109","SG1","2023-10-01T10:49:43"
"","230","C","156","SGLM","2023-10-01T10:49:43"
"","355","C","170","W4M","2023-10-01T10:47:49"
"","434","C","216","W59","2023-10-01T10:47:55"
"","376","C","236","W554","2023-10-01T10:49:16"
"","429","C","266","W549","2023-10-01T10:49:16"
"","300","C","183","W81","2023-10-01T10:49:34"
"","460","C","337","SK28","2023-10-01T10:47:38"
"","142","Y","115","",""
"","100","H","0","",""
"","360","C","180","W586","2023-10-01T10:48:11"
"","358","C","212","W588","2023-10-01T10:48:11"
"","500","C","500","Y4T","2023-10-01T10:50:44"
"","17","C","8","T47L","2023-10-01T10:49:52"
"","1412","C","918","NT8","2023-10-01T10:50:59"
"","526","C","433","SK29","2023-10-01T10:47:38"
"","135","Y","123","",""
"","100","H","0","",""
"","20","C","0","W26","2023-10-01T10:47:56"
"","4","C","1","W27","2023-10-01T10:47:49"
"","330","C","198","PM8","2023-10-01T10:49:17"
"","158","C","56","PR8","2023-10-01T10:49:17"
"","264","C","136","SK69","2023-10-01T10:50:40"
"","278","C","134","AH1","2023-10-01T10:49:38"
"","78","C","33","BR14","2023-10-01T10:49:05"
"","164","C","83","RC1","2023-10-01T10:48:43"
"","82","C","0","TP12","2023-10-01T10:49:27"
"","85","C","37","TP15","2023-10-01T10:48:39"
"","90","C","20","TP20","2023-10-01T10:50:37"
"","183","C","102","TP22","2023-10-01T10:49:58"
"","215","C","57","TP3","2023-10-01T10:49:55"
"","31","C","0","TP30","2023-10-01T10:49:46"
"","187","C","54","TP34","2023-10-01T10:49:52"
"","200","C","40","TP3A","2023-10-01T10:49:33"
"","360","C","40","TP40","2023-10-01T10:49:52"
"","134","C","46","TP41","2023-10-01T10:49:38"
"","114","C","0","TP43","2023-10-01T10:49:56"
"","20","C","1","TP48","2023-10-01T10:49:54"
"","456","C","74","TP52","2023-10-01T10:49:55"
"","323","C","157","TP53","2023-10-01T10:50:34"
"","256","C","111","TP54","2023-10-01T10:50:34"
"","275","C","83","TP60","2023-10-01T10:49:35"
"","162","C","103","TP62","2023-10-01T10:48:05"
"","114","C","55","TP63","2023-10-01T10:48:05"
"","183","C","40","TP67","2023-10-01T10:49:52"
"","187","C","71","TP7","2023-10-01T10:49:59"
"","189","C","50","TP8","2023-10-01T10:49:59"
"","200","C","36","TPB1","2023-10-01T10:49:56"
"","211","C","87","TPM2","2023-10-01T10:49:57"
"","370","C","260","TPM3","2023-10-01T10:50:37"
"","200","C","60","TPM7","2023-10-01T10:49:46"
"","800","C","446","TPM8","2023-10-01T10:49:54"
"","852","C","840","TPM9","2020-09-08T15:53:52"
"","505","C","321","TPMA","2023-10-01T10:50:57"
"","601","C","431","TPMB","2023-10-01T10:49:55"
"","633","C","480","TPMC","2023-10-01T10:50:46"
"","143","C","95","TPMD","2023-10-01T10:50:46"
"","172","C","86","TPME","2023-10-01T10:49:57"
"","458","C","280","TPMF","2023-10-01T10:49:58"
"","246","C","160","TPMH","2023-10-01T10:49:52"
"","657","C","305","TPMJ","2023-10-01T10:49:58"
"","173","C","80","TPMK","2023-10-01T10:49:38"
"","266","C","127","TPML","2023-10-01T10:49:38"
"","259","C","84","TPMM","2023-10-01T10:49:38"
"","779","C","561","SK24","2023-10-01T10:43:54"
"","100","Y","0","",""
"","100","H","0","",""
"","225","C","73","HG17","2023-10-01T10:50:36"
"","823","C","660","HG75","2023-10-01T10:50:35"
"","404","C","264","HG86","2023-10-01T10:50:36"
"","1010","C","770","HG92","2023-10-01T10:50:17"
"","320","C","119","Q86","2023-10-01T10:47:19"
"","52","Y","42","",""
"","50","H","50","",""
"","20","C","4","Q19","2023-10-01T10:45:19"
"","12","Y","0","",""
"","50","H","50","",""
"","200","C","78","MLM1","2023-10-01T10:43:29"
"","100","Y","34","",""
"","100","H","0","",""
"","148","C","42","STM1","2023-10-01T10:45:12"
"","12","Y","5","",""
"","50","H","0","",""
"","199","C","91","STM2","2023-10-01T10:41:11"
"","52","Y","42","",""
"","50","H","0","",""
"","100","C","0","STM3","2023-10-01T10:41:11"
"","55","Y","29","",""
"","50","H","0","",""
"","218","C","92","Q88","2023-10-01T10:46:31"
"","73","Y","43","",""
"","100","H","0","",""
"","149","C","42","Q8","2023-10-01T10:46:30"
"","74","Y","26","",""
"","100","H","0","",""
"","343","C","120","CDM","2023-10-01T10:45:45"
"","128","Y","46","",""
"","50","H","0","",""
"","153","C","77","PL16","2023-10-01T10:50:48"
"","291","C","111","PL19","2023-10-01T10:50:27"
"","749","C","595","PL24","2023-10-01T10:50:48"
"","10","C","10","PL38","2023-10-01T10:51:00"
"","192","C","95","PL50","2023-10-01T10:50:51"
"","321","C","177","PL51","2023-10-01T10:50:52"
"","464","C","214","CK2","2023-10-01T10:50:42"
"","84","C","0","A28","2023-10-01T10:50:37"
"","310","C","84","A31","2023-10-01T10:50:37"
"","155","C","62","A44","2023-10-01T10:50:38"
"","251","C","123","A27","2023-10-01T10:50:37"
"","354","C","170","A75","2023-10-01T10:50:37"
"","758","C","574","SE41","2023-10-01T10:50:35"
"","197","C","117","A2","2023-10-01T10:50:33"
"","234","C","151","A94","2023-10-01T10:50:27"
"","175","C","89","HG1D","2023-10-01T10:50:37"
"","628","C","378","CK54","2023-10-01T10:50:41"
"","120","C","91","HE17","2023-10-01T10:50:46"
"","98","C","60","SPS","2023-10-01T10:46:04"
"","50","H","50","",""
"","31","Y","16","",""
"","213","C","23","TB10","2023-10-01T10:45:18"
"","50","H","50","",""
"","80","Y","22","",""
"","154","C","20","TB11","2023-10-01T10:44:04"
"","50","H","0","",""
"","58","Y","23","",""
"","20","C","0","TB22","2023-10-01T10:43:15"
"","10","H","0","",""
"","15","Y","2","",""
"","50","C","0","TB23","2023-10-01T10:46:58"
"","38","Y","34","",""
"","50","H","15","",""
"","18","C","0","TB28","2023-10-01T10:41:12"
"","18","Y","1","",""
"","50","H","50","",""
"","46","C","40","TB4A","2019-11-01T07:59:49"
"","133","C","60","TB6","2023-10-01T10:46:09"
"","33","Y","0","",""
"","10","H","0","",""
"","194","C","129","TB7","2023-10-01T10:46:10"
"","44","Y","13","",""
"","10","H","0","",""
"","85","C","54","TB8","2023-10-01T10:42:00"
"","44","Y","31","",""
"","50","H","50","",""
"","593","C","252","TBCM","2023-10-01T10:44:03"
"","135","Y","52","",""
"","1","H","50","",""
"","90","C","9","TE1","2023-10-01T10:45:55"
"","50","H","0","",""
"","60","Y","27","",""
